model,epoch,train_loss,test_loss,test_accuracy
Baseline,1.0,0.644672178559833,0.6565221548080444,0.5366666913032532
Baseline,2.0,0.6244376171959771,0.6386451721191406,0.5666666626930237
Baseline,3.0,0.6107242487536536,0.6298990249633789,0.5766666531562805
Baseline,4.0,0.6006686454349094,0.6183127164840698,0.6133333444595337
Baseline,5.0,0.5901380517747667,0.6096714735031128,0.6166666746139526
Baseline,6.0,0.5803809388478597,0.6002175807952881,0.6200000047683716
Baseline,7.0,0.570668740272522,0.5893442630767822,0.6600000262260437
Baseline,8.0,0.5601166955629985,0.5778709650039673,0.7066666483879089
Baseline,9.0,0.550014230410258,0.566935122013092,0.7233333587646484
Baseline,10.0,0.5397433665063646,0.5568065643310547,0.7433333396911621
Baseline,11.0,0.5302497657140096,0.5475339293479919,0.7433333396911621
Baseline,12.0,0.5196350717544556,0.5360502004623413,0.7733333110809326
Baseline,13.0,0.5091672469509972,0.5244003534317017,0.800000011920929
Baseline,14.0,0.49863795015547013,0.514754056930542,0.8133333325386047
Baseline,15.0,0.4883583474159241,0.502074658870697,0.8366666436195374
Baseline,16.0,0.47727259079615275,0.4911980628967285,0.8399999737739563
Baseline,17.0,0.46744890358712937,0.4808022081851959,0.8299999833106995
Baseline,18.0,0.4562553079922994,0.4694419801235199,0.8500000238418579
Baseline,19.0,0.44551399416393705,0.45722436904907227,0.8600000143051147
Baseline,20.0,0.43361992571089003,0.4469423294067383,0.8666666746139526
Baseline,21.0,0.4238840781317817,0.43462681770324707,0.8766666650772095
Baseline,22.0,0.41364863342709013,0.42415544390678406,0.8899999856948853
Baseline,23.0,0.4034926071431902,0.41356363892555237,0.9100000262260437
Baseline,24.0,0.39333226482073463,0.40399792790412903,0.9200000166893005
Baseline,25.0,0.38343879010942244,0.39389538764953613,0.9300000071525574
Baseline,26.0,0.37398013326856827,0.3858695924282074,0.9266666769981384
Baseline,27.0,0.3646136364671919,0.3760138750076294,0.9300000071525574
Baseline,28.0,0.3559761700365279,0.36682888865470886,0.9366666674613953
Baseline,29.0,0.34758013513353136,0.3602408468723297,0.9300000071525574
Baseline,30.0,0.33931138144599066,0.35301095247268677,0.9366666674613953
